SYMBOL ENSEMBL HOCOID
MYOD1 ENSG00000129152 M04116.2.00.MYOD1
MYCN ENSG00000134323 M04128.2.00.MYCN
HEYL ENSG00000163909 M04133.2.00.HEYL
ASCL1 ENSG00000139352 M04135.2.00.ASCL1
HES6 ENSG00000144485 M04139.2.00.HES6
FERD3L ENSG00000146618 M04140.2.00.FERD3L
MSGN1 ENSG00000151379 M04144.2.00.MSGN1
NEUROD1 ENSG00000162992 M04148.2.00.NEUROD1
HAND2 ENSG00000164107 M04150.2.00.HAND2
PTF1A ENSG00000168267 M04156.2.00.PTF1A
NPAS2 ENSG00000170485 M04158.2.00.NPAS2
ATOH1 ENSG00000172238 M04166.2.00.ATOH1
ARNT2 ENSG00000172379 M04170.2.00.ARNT2
NHLH2 ENSG00000177551 M04177.2.00.NHLH2
NEUROG3 ENSG00000122859 M04181.2.00.NEUROG3
ATOH7 ENSG00000179774 M04193.2.00.ATOH7
NEUROG1 ENSG00000181965 M04201.2.00.NEUROG1
ASCL2 ENSG00000183734 M04207.2.00.ASCL2
MESP2 ENSG00000188095 M04212.2.00.MESP2
CREM ENSG00000095794 M04229.2.00.CREM
BACH2 ENSG00000112182 M04247.2.00.BACH2
FOSB ENSG00000125740 M04272.2.00.FOSB
JUND ENSG00000130522 M04281.2.00.JUND
CREB3L4 ENSG00000143578 M04293.2.00.CREB3L4
CREB5 ENSG00000146592 M04299.2.00.CREB5
BATF ENSG00000156127 M04307.2.00.BATF
FOS ENSG00000170345 M04327.2.00.FOS
JUNB ENSG00000171223 M04329.2.00.JUNB
MAF ENSG00000178573 M04343.2.00.MAF
MAFA ENSG00000182759 M04351.2.00.MAFA
ZNF263 ENSG00000006194 M04386.2.00.ZNF263
DPF1 ENSG00000011332 M04388.2.00.DPF1
ZBTB32 ENSG00000011590 M04390.2.00.ZBTB32
ZNF76 ENSG00000065029 M04398.2.00.ZNF76
KLF6 ENSG00000067082 M04400.2.00.KLF6
ZNF343 ENSG00000088876 M04404.2.00.ZNF343
KLF5 ENSG00000102554 M04410.2.00.KLF5
ZNF821 ENSG00000102984 M04412.2.00.ZNF821
ZNF174 ENSG00000103343 M04414.2.00.ZNF174
KLF3 ENSG00000109787 M04418.2.00.KLF3
ZNF684 ENSG00000117010 M04428.2.00.ZNF684
KLF12 ENSG00000118922 M04430.2.00.KLF12
ZBTB45 ENSG00000119574 M04433.2.00.ZBTB45
SNAI1 ENSG00000124216 M04441.2.00.SNAI1
ZNF384 ENSG00000126746 M04451.2.00.ZNF384
KLF2 ENSG00000127528 M04455.2.00.KLF2
ZSCAN5 ENSG00000131848 M04459.2.00.ZSCAN5
KLF4 ENSG00000136826 M04463.2.00.KLF4
ZSCAN9 ENSG00000137185 M04465.2.00.ZSCAN9
ZIC5 ENSG00000139800 M04471.2.00.ZIC5
ZNF787 ENSG00000142409 M04473.2.00.ZNF787
OSR1 ENSG00000143867 M04477.2.00.OSR1
ZNF660 ENSG00000144792 M04479.2.00.ZNF660
ZNF385D ENSG00000151789 M04481.2.00.ZNF385D
ZSCAN1 ENSG00000152467 M04483.2.00.ZSCAN1
KLF10 ENSG00000155090 M04489.2.00.KLF10
ZNF276 ENSG00000158805 M04495.2.00.ZNF276
ZNF281 ENSG00000162702 M04509.2.00.ZNF281
KLF15 ENSG00000163884 M04511.2.00.KLF15
ZNF12 ENSG00000164631 M04515.2.00.ZNF12
ZNF704 ENSG00000164684 M04519.2.00.ZNF704
OSR2 ENSG00000164920 M04521.2.00.OSR2
